"@timestamp","Average_Jitter_Downlink_Mb","Average_Jitter_Downlink_S1U","Average_Jitter_Uplink_Mb","Average_Jitter_Uplink_S1U","Average_Latency_Downlink_Mb","Average_Latency_Downlink_S1U","Average_Latency_Uplink_Mb","Average_Latency_Uplink_S1U","Average_One_Way_Audio_Downlink_Mb","Average_One_Way_Audio_Downlink_S1U","Average_One_Way_Audio_Uplink_Mb","Average_One_Way_Audio_Uplink_S1U","Average_Packet_Loss_Downlink_Mb","Average_Packet_Loss_Downlink_S1U","Average_Packet_Loss_Uplink_Mb","Average_Packet_Loss_Uplink_S1U","Count_Jitter_Downlink_S1U","Count_Jitter_Uplink_S1U","Count_Latency_Downlink_S1U","Count_Latency_Uplink_S1U","Count_PacketLoss_Uplink_S1U","Count_Packet_Loss_Downlink_S1U","DEPARTAMENTO","HOSTNAME","LATITUD","LOCALIDAD","LONGITUD","MOS_Average_Downlink_Mb","MOS_Average_Downlink_S1U","MOS_Average_Uplink_Mb","MOS_Average_Uplink_S1U","MOS_Count_Downlink_S1U","MOS_Count_Uplink_S1U","PROVINCIA","R-FACTOR_Count_Downlink_S1U","R-FACTOR_Count_Uplink_S1U","TIMESTAMP","_id","_index","_type","highlight","location","sort","tags","type"
2024-04-26 00:00:10,0,3.97,0,8.16,0,42.9,0,49.1,,0,,4,0,0.0100,0,1.92,124,124,124,124,124,124,YERBA BUENA,TU00768L100,-26.8,YERBA BUENA - MARCOS PAZ,-65.3,0,3.99,0,3.74,124,124,TUCUMAN,124,124,4/25/2024 11:39:00 PM,-pZYGI8BbzH95Go-m0fX,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.806626,-65.311463","1714100410570, 138859",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-26 00:00:09,0,15.2,0,16.0,0,46.2,0,49.5,,1,,0,0,0,0,0.0300,125,125,125,125,125,125,GENERAL ROCA,CO00624L100,-34.8,HUINCA RENANCO,-64.4,0,4.10,0,4.10,125,125,CORDOBA,125,125,4/25/2024 11:40:00 PM,r5ZYGI8BbzH95Go-mS9f,bocx-kpi_viavi_user_plane-2024.04.26,,,"-34.837210999999996,-64.37024100000001","1714100409881, 313936",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-26 00:00:09,0,15.0,0,13.2,0,46.9,0,49.4,,0,,0,0,0.0100,0,0.120,130,130,130,130,130,130,GENERAL ROCA,CO00624L100,-34.8,HUINCA RENANCO,-64.4,0,4.10,0,4.08,130,130,CORDOBA,130,130,4/25/2024 11:39:00 PM,rpZYGI8BbzH95Go-mS9f,bocx-kpi_viavi_user_plane-2024.04.26,,,"-34.837210999999996,-64.37024100000001","1714100409881, 313935",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:40:09,0,2.59,0,7.44,0,46.0,0,48.2,,1,,15,0,1.02,0,0.230,130,127,130,127,127,130,CRUZ ALTA,TU00152L100,-26.8,LASTENIA,-65.2,0,4.03,0,4.05,130,127,TUCUMAN,130,127,4/25/2024 11:27:00 PM,LJVGGI8BbzH95Go-SI7b,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.849106,-65.168767","1714099209776, 129346",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:10:11,0,2.06,0,8.68,0,48.8,0,47.9,,0,,8,0,0.330,0,0.450,125,124,125,124,124,125,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.02,0,3.99,125,124,TUCUMAN,125,124,4/25/2024 10:49:00 PM,k5MqGI8BbzH95Go-1-V_,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714097411297, 376875",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:00:14,0,2.31,0,9.36,0,48.3,0,48.0,,1,,7,0,0.170,0,0.780,151,150,151,150,150,151,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.09,0,3.94,151,150,TUCUMAN,151,150,4/25/2024 10:39:00 PM,nZMhGI8BbzH95Go-vBTq,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714096814581, 640124",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:00:14,0,3.27,0,9.47,0,47.3,0,46.0,,1,,0,0,0.0500,0,0.760,133,134,133,134,134,133,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.11,0,3.96,133,134,TUCUMAN,133,134,4/25/2024 10:38:00 PM,nJMhGI8BbzH95Go-vBTq,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714096814580, 640123",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:00:14,0,1.88,0,9.97,0,49.4,0,45.7,,0,,0,0,0,0,0.630,126,126,126,126,126,126,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.15,0,3.99,126,126,TUCUMAN,126,126,4/25/2024 10:37:00 PM,m5MhGI8BbzH95Go-vBTq,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714096814580, 640122",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:00:14,0,1.33,0,8.42,0,49.9,0,45.8,,0,,0,0,0,0,0.480,130,130,130,130,130,130,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.14,0,4.04,130,130,TUCUMAN,130,130,4/25/2024 10:36:00 PM,mpMhGI8BbzH95Go-vBTq,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714096814580, 640121",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-25 23:00:14,0,2.40,0,8.28,0,49.8,0,46.4,,0,,38,0,0.0100,0,0.850,129,124,129,124,124,129,CAPITAL,TU00205L100,-26.8,SAN MIGUEL DE TUCUMAN,-65.2,0,4.14,0,3.95,129,124,TUCUMAN,129,124,4/25/2024 10:35:00 PM,mZMhGI8BbzH95Go-vBTq,bocx-kpi_viavi_user_plane-2024.04.26,,,"-26.826797999999997,-65.226078","1714096814580, 640120",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
