"@timestamp","Average_Jitter_Downlink_Mb","Average_Jitter_Downlink_S1U","Average_Jitter_Uplink_Mb","Average_Jitter_Uplink_S1U","Average_Latency_Downlink_Mb","Average_Latency_Downlink_S1U","Average_Latency_Uplink_Mb","Average_Latency_Uplink_S1U","Average_One_Way_Audio_Downlink_Mb","Average_One_Way_Audio_Downlink_S1U","Average_One_Way_Audio_Uplink_Mb","Average_One_Way_Audio_Uplink_S1U","Average_Packet_Loss_Downlink_Mb","Average_Packet_Loss_Downlink_S1U","Average_Packet_Loss_Uplink_Mb","Average_Packet_Loss_Uplink_S1U","Count_Jitter_Downlink_S1U","Count_Jitter_Uplink_S1U","Count_Latency_Downlink_S1U","Count_Latency_Uplink_S1U","Count_PacketLoss_Uplink_S1U","Count_Packet_Loss_Downlink_S1U","DEPARTAMENTO","HOSTNAME","LATITUD","LOCALIDAD","LONGITUD","MOS_Average_Downlink_Mb","MOS_Average_Downlink_S1U","MOS_Average_Uplink_Mb","MOS_Average_Uplink_S1U","MOS_Count_Downlink_S1U","MOS_Count_Uplink_S1U","PROVINCIA","R-FACTOR_Count_Downlink_S1U","R-FACTOR_Count_Uplink_S1U","TIMESTAMP","_id","_index","_type","highlight","location","sort","tags","type"
2024-04-29 20:40:29.678,0,1.83,0,11.5,0,47.1,0,41.7,,1,,46,0,0.0900,0,0.140,64,60,64,60,60,64,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.10,0,4.08,64,60,CORDOBA,64,60,4/29/2024 8:29:00 PM,jOw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21080",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.34,0,8.61,0,43.6,0,43.8,,2,,25,0,0.120,0,0.210,54,52,54,52,52,54,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,4.06,54,52,CORDOBA,54,52,4/29/2024 8:28:00 PM,i-w7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21079",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.49,0,8.43,0,44.1,0,44.5,,2,,26,0,0.100,0,1.60,75,71,75,71,71,75,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,4,75,71,CORDOBA,75,71,4/29/2024 8:27:00 PM,iuw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21078",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.40,0,8.65,0,40.5,0,46.2,,0,,17,0,0.120,0,0.210,87,84,87,84,84,87,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.05,0,4.05,87,84,CORDOBA,87,84,4/29/2024 8:26:00 PM,iew7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21077",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,3.06,0,8.42,0,41.7,0,44.2,,1,,3,0,0.0900,0,0.160,89,90,89,90,90,89,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.08,0,4.06,89,90,CORDOBA,89,90,4/29/2024 8:25:00 PM,iOw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21076",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.66,0,7.21,0,43.8,0,46.1,,0,,2,0,0.150,0,0.0700,74,73,74,73,73,74,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.06,0,4.10,74,73,CORDOBA,74,73,4/29/2024 8:24:00 PM,h-w7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21075",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,0.930,0,8.37,0,47.4,0,50,,1,,1,0,0.0200,0,0.0700,88,88,88,88,88,88,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.17,0,4.15,88,88,CORDOBA,88,88,4/29/2024 8:23:00 PM,huw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21074",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,1.41,0,10.4,0,47.6,0,48.9,,1,,7,0,0.0300,0,0.100,96,96,96,96,96,96,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.15,0,4.12,96,96,CORDOBA,96,96,4/29/2024 8:22:00 PM,hew7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21073",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,1.25,0,10.4,0,47.6,0,50,,0,,7,0,0.0500,0,0.250,106,105,106,105,105,106,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.14,0,4.10,106,105,CORDOBA,106,105,4/29/2024 8:21:00 PM,hOw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21072",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,1.33,0,10.4,0,46.7,0,50,,0,,11,0,0.0600,0,0.110,88,86,88,86,86,88,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.14,0,4.14,88,86,CORDOBA,88,86,4/29/2024 8:20:00 PM,g-w7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21071",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,1.55,0,10.3,0,46.4,0,50,,0,,17,0,0,0,0.190,110,108,110,108,108,110,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.14,0,4.07,110,108,CORDOBA,110,108,4/29/2024 8:19:00 PM,guw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21070",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.19,0,8.77,0,45.6,0,48.5,,1,,7,0,0.0500,0,0.670,103,101,103,101,101,103,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.11,0,4.02,103,101,CORDOBA,103,101,4/29/2024 8:18:00 PM,gew7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21069",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 20:40:29.678,0,2.03,0,8.88,0,47.1,0,47.9,,2,,39,0,0.440,0,0.750,67,61,67,61,61,67,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.05,0,3.94,67,61,CORDOBA,67,61,4/29/2024 8:17:00 PM,gOw7LI8BbzH95Go-OsdH,bocx-kpi_viavi_user_plane-2024.04.29,,,"-31.396469,-64.245432","1714434029678, 21068",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
