"@timestamp","Average_Jitter_Downlink_Mb","Average_Jitter_Downlink_S1U","Average_Jitter_Uplink_Mb","Average_Jitter_Uplink_S1U","Average_Latency_Downlink_Mb","Average_Latency_Downlink_S1U","Average_Latency_Uplink_Mb","Average_Latency_Uplink_S1U","Average_One_Way_Audio_Downlink_Mb","Average_One_Way_Audio_Downlink_S1U","Average_One_Way_Audio_Uplink_Mb","Average_One_Way_Audio_Uplink_S1U","Average_Packet_Loss_Downlink_Mb","Average_Packet_Loss_Downlink_S1U","Average_Packet_Loss_Uplink_Mb","Average_Packet_Loss_Uplink_S1U","Count_Jitter_Downlink_S1U","Count_Jitter_Uplink_S1U","Count_Latency_Downlink_S1U","Count_Latency_Uplink_S1U","Count_PacketLoss_Uplink_S1U","Count_Packet_Loss_Downlink_S1U","DEPARTAMENTO","HOSTNAME","LATITUD","LOCALIDAD","LONGITUD","MOS_Average_Downlink_Mb","MOS_Average_Downlink_S1U","MOS_Average_Uplink_Mb","MOS_Average_Uplink_S1U","MOS_Count_Downlink_S1U","MOS_Count_Uplink_S1U","PROVINCIA","R-FACTOR_Count_Downlink_S1U","R-FACTOR_Count_Uplink_S1U","TIMESTAMP","_id","_index","_type","highlight","location","sort","tags","type"
2024-04-29 22:10:17.463,0,18.4,0,17.8,0,44.2,0,50,,0,,8,0,0,0,0.0700,81,79,81,79,79,81,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.08,0,4.05,81,79,CORDOBA,81,79,4/29/2024 9:59:00 PM,9PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75727",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,17.5,0,16.9,0,48.0,0,50,,0,,7,0,0,0,0.930,84,83,84,83,83,84,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.09,0,3.95,84,83,CORDOBA,84,83,4/29/2024 9:58:00 PM,8_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75726",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,17.7,0,14.1,0,47.6,0,50,,0,,17,0,0.0500,0,0.750,88,86,88,86,86,88,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.97,88,86,CORDOBA,88,86,4/29/2024 9:57:00 PM,8vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75725",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,22.8,0,17.2,0,46.3,0,50,,0,,1,0,0,0,1.35,67,67,67,67,67,67,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.94,67,67,CORDOBA,67,67,4/29/2024 9:56:00 PM,8fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75724",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,12.8,0,25.6,0,45.3,0,50,,0,,10,0,0.0100,0,1.87,70,69,70,69,69,70,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.10,0,3.85,70,69,CORDOBA,70,69,4/29/2024 9:55:00 PM,8PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75723",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,14.5,0,27.8,0,47.6,0,50,,0,,0,0,0,0,0.170,60,60,60,60,60,60,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.08,0,4,60,60,CORDOBA,60,60,4/29/2024 9:54:00 PM,7_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75722",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,16.5,0,28.4,0,45.4,0,50,,0,,2,0,0.0100,0,0.0300,62,62,62,62,62,62,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.08,0,4.03,62,62,CORDOBA,62,62,4/29/2024 9:53:00 PM,7vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75721",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,23.0,0,25.8,0,46.1,0,50,,0,,0,0,0,0,0.110,50,50,50,50,50,50,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.99,50,50,CORDOBA,50,50,4/29/2024 9:52:00 PM,7fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75720",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,24.6,0,26.3,0,46.7,0,50,,0,,0,0,0,0,0.200,50,50,50,50,50,50,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.96,50,50,CORDOBA,50,50,4/29/2024 9:51:00 PM,7PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75719",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,24.3,0,23.6,0,42.5,0,50,,0,,0,0,0.0100,0,0.610,55,55,55,55,55,55,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.08,0,3.94,55,55,CORDOBA,55,55,4/29/2024 9:50:00 PM,6_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75718",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,23.6,0,20.1,0,45.8,0,50,,0,,0,0,0,0,0.120,63,63,63,63,63,63,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.09,0,4.04,63,63,CORDOBA,63,63,4/29/2024 9:49:00 PM,6vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75717",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,15.5,0,27.7,0,44.7,0,50,,0,,1,0,0,0,0.210,60,60,60,60,60,60,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.11,0,4,60,60,CORDOBA,60,60,4/29/2024 9:48:00 PM,6fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75716",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,33.0,0,16.3,0,46.3,0,50,,0,,0,0,0,0,0.130,51,51,51,51,51,51,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.06,0,4.04,51,51,CORDOBA,51,51,4/29/2024 9:47:00 PM,6PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75715",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,22.2,0,20.3,0,46.1,0,50,,0,,13,0,0,0,0.890,75,73,75,73,73,75,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.10,0,3.94,75,73,CORDOBA,75,73,4/29/2024 9:46:00 PM,5_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75714",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,30.6,0,24,0,43.5,0,50,,0,,22,0,0,0,0.100,46,42,46,42,42,46,CAPITAL,CO00950L100,-31.4,CORDOBA,-64.2,0,4.04,0,3.99,46,42,CORDOBA,46,42,4/29/2024 9:45:00 PM,5vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.396469,-64.245432","1714439417463, 75713",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.463,0,1.01,0,8.02,0,50,0,50,,1,,14,0,0.0700,0,0.0200,25,23,25,23,23,25,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.11,0,4.12,25,23,CABA,25,23,4/29/2024 9:59:00 PM,5fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417463, 75712",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.350,0,3.96,0,50,0,50,,0,,1,0,0.220,0,0.0900,12,12,12,12,12,12,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.07,0,4.11,12,12,CABA,12,12,4/29/2024 9:56:00 PM,4_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75710",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.370,0,16.7,0,50,0,50,,0,,0,0,0,0,0.980,12,12,12,12,12,12,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.22,0,3.97,12,12,CABA,12,12,4/29/2024 9:51:00 PM,3_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75706",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.300,0,22.6,0,50,0,50,,0,,0,0,0,0,1.37,20,20,20,20,20,20,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.22,0,3.87,20,20,CABA,20,20,4/29/2024 9:50:00 PM,3vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75705",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.360,0,15.8,0,50,0,50,,1,,1,0,0,0,7.26,34,35,34,35,35,34,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.20,0,3.66,34,35,CABA,34,35,4/29/2024 9:49:00 PM,3fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75704",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.380,0,11.6,0,50,0,50,,0,,6,0,0,0,5.06,64,64,64,64,64,64,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.21,0,3.76,64,64,CABA,64,64,4/29/2024 9:48:00 PM,3PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75703",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.400,0,9.05,0,50,0,50,,0,,6,0,0,0,0.890,78,77,78,77,77,78,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.21,0,4.04,78,77,CABA,78,77,4/29/2024 9:47:00 PM,2_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75702",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.340,0,8.95,0,50,0,50,,0,,0,0,0,0,0.780,70,70,70,70,70,70,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.21,0,4.05,70,70,CABA,70,70,4/29/2024 9:46:00 PM,2vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75701",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.400,0,6.33,0,50,0,50,,0,,7,0,0,0,0.0500,57,56,57,56,56,57,CABA,CF00129L100,-34.6,CABA,-58.5,0,4.20,0,4.19,57,56,CABA,57,56,4/29/2024 9:45:00 PM,2fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-34.602781,-58.469455","1714439417462, 75700",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,16.8,0,15.3,0,47.3,0,47.9,,0,,2,0,0.100,0,6.57,25,25,25,25,25,25,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.07,0,3.61,25,25,CORDOBA,25,25,4/29/2024 9:59:00 PM,2PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.359847,-64.168651","1714439417462, 75699",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,1.96,0,10.8,0,46.3,0,48.3,,0,,10,0,0,0,10.5,27,26,27,26,26,27,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.13,0,3.16,27,26,CORDOBA,27,26,4/29/2024 9:58:00 PM,1_ONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.359847,-64.168651","1714439417462, 75698",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.620,0,12.5,0,50,0,50,,0,,5,0,0,0,3.95,30,30,30,30,30,30,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.16,0,3.72,30,30,CORDOBA,30,30,4/29/2024 9:57:00 PM,1vONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.359847,-64.168651","1714439417462, 75697",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.300,0,11.1,0,50,0,50,,0,,0,0,0,0,0.700,20,20,20,20,20,20,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.22,0,4.03,20,20,CORDOBA,20,20,4/29/2024 9:56:00 PM,1fONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.359847,-64.168651","1714439417462, 75696",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
2024-04-29 22:10:17.462,0,0.420,0,9.20,0,50,0,50,,0,,1,0,0,0,0.530,29,28,29,28,28,29,CAPITAL,CO00008L100,-31.4,CORDOBA,-64.2,0,4.18,0,4.03,29,28,CORDOBA,29,28,4/29/2024 9:55:00 PM,1PONLI8BbzH95Go-cgAI,bocx-kpi_viavi_user_plane-2024.04.30,,,"-31.359847,-64.168651","1714439417462, 75695",BOCX_KPI_VIAVI_USER_PLANE_V2,_doc
