2024-07-23 00:04:12,MSSM3AROLL1,2183,64.40,21.94,97.06,0.18,0.13,0.00,1.51,0.00,1.09,0.00
2024-07-23 00:04:13,MSSM1PYASU1,1168,47.26,22.17,95.11,0.17,0.00,0.00,1.02,0.00,3.68,0.00
2024-07-23 00:04:13,MSSM1PYOLL2,937,51.01,21.34,95.94,0.00,0.32,0.00,1.49,0.00,2.24,0.00
2024-07-23 00:04:15,MSSM2ARCOR2,2221,66.95,18.14,97.39,0.04,0.00,0.00,0.98,0.04,1.52,0.00
2024-07-23 00:04:15,MSSM2AROLL1,2293,66.72,17.66,97.90,0.04,0.08,0.00,0.78,0.04,1.13,0.00
2024-07-23 00:06:02,MSSMAR03,2367,59.44,25.81,97.97,0.00,0.12,0.00,0.92,0.00,0.97,0.00
2024-07-23 00:06:04,MSSNEU03,3893,63.80,22.52,96.50,0.00,0.05,0.00,1.36,0.05,2.00,0.00
2024-07-23 00:06:05,MSSGRA02,532,61.84,20.67,94.73,0.18,0.18,0.00,3.38,0.00,1.50,0.00
2024-07-23 00:06:06,MSSBAH03,3684,58.06,22.71,91.39,5.42,0.00,0.00,1.33,0.02,1.81,0.00
2024-07-23 00:06:07,MSSMON04,199,69.84,15.07,98.00,0.00,0.00,0.00,0.50,0.00,1.50,0.00
2024-07-23 00:06:08,MSSMON05,830,64.81,17.34,95.90,0.00,0.12,0.00,1.80,0.00,2.16,0.00
2024-07-23 00:06:09,MSSCOR06,1334,66.64,14.69,87.10,0.59,6.07,0.00,3.07,0.00,3.14,0.00
2024-07-23 00:06:09,MSSOLL02,1707,67.89,13.18,86.99,0.70,5.74,0.00,4.62,0.00,1.93,0.00
2024-07-23 00:06:10,MSSM1AROLL2,4543,61.39,15.54,96.85,0.02,0.26,0.04,1.03,0.00,1.78,0.00
2024-07-23 00:06:11,MSSM1ARCOR1,7003,61.53,14.13,95.43,0.47,0.11,0.17,1.32,0.01,2.47,0.00
2024-07-23 00:06:11,MSSM3AROLL1,3507,63.33,21.44,96.66,0.34,0.08,0.00,1.65,0.00,1.25,0.00
2024-07-23 00:06:12,MSSM3ARCOR1,2779,64.26,21.05,96.90,0.00,0.28,0.00,1.33,0.07,1.40,0.00
